id,word_count,action_time_mean,action_time_max,action_time_total,action_time_50,event_count,moves,paste_count,nonproduction_count,input_count,remove_cut_count,replace_count,nochange_count,capslock_count,paragraph_count,space_count,question_count,exclamation_count,sub_texts_count,amount_back_track,mean_back_track,max_back_track,median_back_track,one_back_track,score
07bb7765,277,81.22828729281768,4725,367558,78.0,4525,0,0,550,2973,999,3,550,0,15,542,5,0,0,1132,2.5574204946996466,370,1,1108,3.5
07c36ae1,259,101.19274587305277,814,435230,107.0,4301,0,0,280,2764,1257,0,280,0,6,473,0,0,0,1275,5.058039215686274,929,1,1256,3.5
07e41499,341,166.61677115987462,504,425206,174.0,2552,0,0,117,2150,285,0,117,0,3,397,0,0,1,301,30.029900332225914,1668,1,288,3.5
07f3409c,554,88.60292104062071,1952,388258,88.0,4382,0,0,277,3675,428,2,277,0,40,624,1,3,0,452,24.829646017699115,2295,1,425,4.5
081d84f4,365,117.57204455623427,4336,327203,111.0,2783,0,0,74,2504,201,4,74,0,17,414,0,0,0,205,15.946341463414635,1666,1,190,4.0
08276ea7,275,110.89400665926748,1979,199831,112.0,1802,0,0,136,1606,59,1,136,0,6,288,1,0,1,66,19.484848484848484,820,1,60,3.0
08288a1f,442,85.05,8033,255150,78.0,3000,0,1,90,2667,242,0,90,0,1,487,0,0,0,246,7.394308943089431,795,1,242,4.0
08390d49,245,117.2379736057897,3448,275392,112.0,2349,0,0,300,1800,248,1,300,0,4,317,0,0,0,329,22.64741641337386,933,1,266,4.0
088efb89,413,124.8643216080402,526,372720,122.0,2985,0,0,56,2553,376,0,56,0,6,483,9,0,0,384,3.4036458333333335,339,1,377,4.0
08dbdc95,692,116.10378811210349,8692,753978,111.0,6494,0,0,199,5484,808,3,199,0,7,930,3,2,0,825,11.563636363636364,1769,1,802,5.5
08e3c7ae,72,86.55818540433926,1605,43885,82.0,507,0,0,46,428,32,1,46,0,0,78,0,0,0,33,12.93939393939394,395,1,32,1.0
08e82426,479,114.9241422725842,2540,365114,108.0,3177,0,0,64,2974,139,0,64,0,10,533,0,0,0,143,16.664335664335663,1622,1,136,4.5
08eb331a,224,142.31234866828086,748,235100,143.0,1652,0,0,62,1457,133,0,62,0,8,259,0,0,0,137,10.671532846715328,1044,1,132,2.5
08ed1a7f,341,95.18961310561171,2174,273099,86.0,2869,0,1,248,2434,171,15,248,0,14,405,4,0,0,247,58.03238866396761,1660,1398,173,4.0
08f461ac,480,76.09652844744456,550,789121,47.0,10370,0,1,5582,4005,765,17,5582,0,10,727,9,0,0,1728,4.251157407407407,1225,1,1679,5.0
08f9b53a,561,75.5692333959365,1629,442609,76.0,5857,0,0,1098,4118,626,15,1098,0,6,706,1,0,0,694,24.988472622478387,2359,1,623,5.0
0916cdad,312,94.1208432304038,989,316999,92.0,3368,0,1,485,2322,555,5,485,0,10,412,7,0,0,675,10.380740740740741,968,1,638,3.5
09429577,404,126.96088582111015,1326,441443,134.0,3477,0,0,100,2897,471,9,100,0,4,501,4,0,0,493,10.862068965517242,1053,1,469,4.0
0949205b,243,163.36540120793788,1764,378681,162.0,2318,0,0,54,1841,423,0,54,0,2,343,0,0,0,429,3.8111888111888113,1080,1,423,3.0
098c4b58,378,66.56428571428572,1591,251613,67.0,3780,0,0,331,3054,392,3,331,0,8,497,0,0,0,411,25.150851581508515,1940,1,392,4.0
098f7878,541,118.53189341945902,4989,587207,122.0,4954,0,0,318,3991,637,8,318,0,9,662,0,0,0,663,6.689291101055807,2456,1,633,5.0
09a67581,974,90.52091788947861,4258,579877,89.0,6406,0,0,94,5844,468,0,94,0,6,1070,3,0,0,469,5.149253731343284,1947,1,468,4.5
09bf7971,634,85.68860580325548,509,363234,86.0,4239,0,0,240,3668,331,0,240,0,6,687,1,2,0,350,18.76,2734,1,333,5.0
09ea6d33,205,84.76288088642659,799,152997,76.0,1805,0,0,84,1537,184,0,84,48,0,234,0,0,0,191,2.764397905759162,109,1,184,2.0
09eb3ce5,204,82.36062717770035,1395,141825,77.0,1722,0,0,115,1374,233,0,115,0,9,259,2,0,0,248,3.879032258064516,314,1,239,3.0
0a1be27b,245,117.5455734845181,509,269532,111.0,2293,0,0,192,1676,425,0,192,0,5,331,0,0,0,451,7.678492239467849,498,1,426,2.5
0a21bbd6,420,78.90656284760846,495,354685,88.0,4495,0,0,999,3034,461,1,999,0,8,480,0,0,0,552,11.855072463768115,1757,1,539,4.5
0a248634,627,102.26563721657546,509,523191,104.0,5116,0,0,290,4134,692,0,290,0,14,785,1,1,0,742,2.921832884097035,440,79,729,4.5
0a31d60e,308,109.23654306220095,2307,365287,108.0,3344,0,0,175,2433,728,8,175,0,6,455,1,1,0,755,6.973509933774834,812,1,730,5.0
0a4e3aec,279,121.04915514592933,3542,236409,118.0,1953,0,1,82,1723,146,1,82,0,6,321,0,0,0,137,26.306569343065693,1219,1,124,3.5
0a4eae7a,238,124.2419191919192,2598,245999,142.0,1980,0,0,262,1585,132,1,262,0,24,450,0,0,0,185,4.583783783783784,287,1,173,1.5
0a59a757,397,101.92834277271608,3017,413931,105.0,4061,0,2,572,2912,571,4,572,0,7,508,4,0,0,592,8.094594594594595,1942,1,567,4.5
0a98043e,305,73.67257159728373,517,249529,76.0,3387,0,0,479,2356,552,0,479,0,8,389,1,0,0,613,1.1402936378466557,64,1,611,4.0
0ad15907,306,81.54262378764676,691,159742,80.0,1959,0,0,60,1791,108,0,60,0,6,344,5,0,0,116,5.482758620689655,272,1,108,3.5
0ad30c56,554,89.83386695126289,3357,505046,86.0,5622,0,0,108,4300,1214,0,108,2,10,768,0,0,0,1239,5.78773204196933,2979,1,1228,4.5
0b7d9563,239,121.70505617977528,452,173308,119.0,1424,0,0,32,1375,17,0,32,30,6,239,0,0,0,17,1.0,1,1,17,2.5
0bcf7a38,366,71.53338696701529,633,177832,72.0,2486,0,1,190,2119,176,0,190,2,5,387,1,0,0,186,17.618279569892472,1463,1,175,4.0
0bdda3d0,382,101.49834217506631,1426,306119,99.0,3016,0,0,42,2678,293,3,42,0,4,452,0,0,0,304,10.585526315789474,2067,1,291,4.0
0be614b2,519,96.15028901734104,14286,365948,78.0,3806,0,0,166,3391,243,6,166,0,6,599,0,0,0,284,29.690140845070424,2000,1,218,5.0
0c0f5e03,311,98.09220452640402,1224,351072,101.0,3579,0,0,97,2675,807,0,97,2,5,479,4,0,0,821,3.123020706455542,1064,1,806,3.0
0c13191d,257,96.603738317757,1147,361781,84.0,3745,0,0,197,2606,938,4,197,0,7,402,1,0,0,993,4.972809667673716,928,1,967,3.0
0c3c0e97,266,133.60352622061484,108860,295531,75.0,2212,0,0,136,1891,184,1,136,28,6,315,3,4,0,192,6.557291666666667,405,1,187,3.0
0c63312a,397,82.26559435072578,526,209695,76.0,2549,0,0,33,2365,151,0,33,0,3,417,0,0,0,151,1.0,1,1,151,4.0
0c683abf,420,144.86679058240398,504,467630,145.0,3228,0,0,38,2804,386,0,38,0,2,511,5,0,0,386,1.0,1,1,386,4.0
0c6ae36d,228,101.0210378681627,1572,144056,91.0,1426,0,0,27,1326,73,0,27,1,6,234,0,0,0,73,1.0,1,1,73,2.0
0c6dc776,503,122.13134249471459,509,462145,121.0,3784,0,0,55,3336,393,0,55,0,6,560,4,0,0,396,9.79040404040404,1525,1,393,4.5
0c81d872,257,75.13270142180095,504,158530,58.0,2110,0,0,76,1832,202,0,76,44,5,372,0,0,0,212,11.966981132075471,1096,1,202,3.0
0c97760e,449,68.30859728506788,11190,226443,58.0,3315,1,0,172,2877,263,2,172,0,11,517,1,0,0,302,29.718543046357617,2147,1,262,4.5
0ca05fe3,254,110.83184383819379,833,471257,105.0,4252,0,0,293,2858,1101,0,293,8,5,1535,0,0,0,1205,18.507883817427388,1428,1,1113,1.5
0cb03a4b,445,104.97748960117445,642,429043,107.0,4087,0,0,171,3182,734,0,171,0,5,581,0,0,2,757,1.2668428005284016,130,1,739,3.0
0cbb4d8a,414,97.7018291155099,4850,389928,94.0,3991,0,0,325,3082,573,11,325,0,7,525,0,0,0,608,10.47203947368421,2095,1,569,4.5
0cdbef4c,377,75.24505030834145,509,231830,69.0,3081,0,0,185,2513,383,0,185,0,10,442,3,1,0,489,9.423312883435583,1724,1,477,4.0
0cdd67f7,508,120.87195796460178,508,437073,121.0,3616,0,0,148,3228,240,0,148,109,6,573,0,1,0,247,8.477732793522268,1084,1,242,4.0
0cf8f260,231,168.43077501881115,4894,447689,153.0,2658,0,4,123,2058,469,4,123,0,12,352,0,3,0,499,9.148296593186373,778,1,465,3.0
0d0f5c6a,594,55.19713831478538,496,208314,56.0,3774,0,0,258,3379,137,0,258,2,8,616,2,0,0,152,20.414473684210527,1200,1,143,4.5
0d341ad9,205,93.31988472622479,516,161910,94.0,1735,0,0,230,1380,125,0,230,1,7,238,0,0,0,231,6.961038961038961,562,1,223,2.5
0d71be2a,408,98.48684449283252,1707,542761,102.0,5511,0,0,322,3832,1355,2,322,0,6,659,0,0,0,1372,2.729591836734694,625,1,1355,4.5
0d9a48c8,783,78.01154939587775,1413,439049,75.0,5628,0,0,111,5050,467,0,111,0,14,860,8,1,0,473,4.568710359408033,694,1,466,5.0
0d9d8d5c,221,129.71381794368043,1349,198073,126.0,1527,0,0,76,1332,119,0,76,0,0,249,0,0,0,143,1.0,1,1,143,3.0
0e1ed32d,335,171.7510254306809,6238,418729,171.0,2438,0,0,52,2262,124,0,52,0,17,356,0,0,1,135,17.31111111111111,1030,1,126,4.0
0e45ff80,321,101.44476850164054,1721,278263,99.0,2743,0,0,81,2191,471,0,81,0,2,440,1,0,0,483,6.0476190476190474,1499,1,470,2.5
0e47a081,555,92.65880721220528,2295,534456,92.0,5768,0,0,614,4290,860,4,614,0,8,753,0,0,0,919,5.771490750816104,231,1,851,4.0
0e6b2690,378,122.80716723549489,515,287860,119.0,2344,0,0,82,2174,88,0,82,0,5,413,0,1,0,97,21.608247422680414,1511,1,92,3.0
0e7d541e,710,110.8694,257,554347,113.0,5000,0,0,281,4390,329,0,281,6,13,763,2,1,0,348,18.117816091954023,2940,1,333,4.0
0e8c5c2d,542,86.44711538461539,501,359620,85.0,4160,0,0,197,3536,423,4,197,0,7,628,0,0,0,459,11.335511982570806,3008,1,446,5.5
0e8ff5f0,428,89.68517736486487,5155,424749,79.0,4736,0,0,495,3619,609,13,495,0,12,554,1,0,0,674,21.86053412462908,2431,1,564,5.0
0e92a174,355,69.68123861566484,2275,306040,58.0,4392,0,1,153,3272,954,12,153,0,11,530,0,0,0,1011,7.586547972304649,1263,1,952,4.0
0e92f6e6,508,117.07706666666667,1599,439039,113.0,3750,0,0,107,3314,327,2,107,0,13,570,1,0,0,350,21.68,1984,1,327,4.5
0e94f89a,319,74.1260859879706,2016,332752,77.0,4489,0,0,753,2907,829,0,753,0,4,478,0,0,0,839,5.052443384982122,1351,1351,828,4.0
0eb6deb6,255,101.59132947976879,343,175753,98.0,1730,0,0,102,1499,129,0,102,10,6,285,2,0,0,181,28.85082872928177,925,1,165,1.5
0ef51d77,439,114.50643004115226,2699,445201,113.0,3888,0,2,457,3096,324,9,457,0,13,505,0,0,0,434,56.84101382488479,1835,1,340,5.5
0efdfcb9,467,58.51757014437483,757,214818,57.0,3671,0,0,79,3152,440,0,79,0,6,556,0,0,0,451,7.352549889135255,1784,1,441,4.5
0f2b0127,227,112.08484270734033,513,235154,104.0,2098,0,0,284,1648,166,0,284,8,6,273,0,0,0,252,81.05555555555556,1267,1,186,3.5
0f2d2bc2,281,96.9090909090909,1717,283556,94.0,2926,0,0,231,2371,316,8,231,0,32,363,3,0,0,363,7.801652892561983,501,1,321,4.5
0f53e40a,494,111.98586977277067,6896,586470,105.0,5237,0,0,111,4163,963,0,111,0,9,665,2,0,1,974,6.9281314168377826,2360,1,963,5.5
0f825609,246,102.11104617182934,1574,174712,97.0,1711,0,0,38,1570,102,1,38,0,3,255,0,0,0,104,1.6826923076923077,62,1,101,3.0
0f99d42f,624,80.12298107983388,650,347253,86.0,4334,0,0,469,3744,121,0,469,0,12,649,1,1,0,144,15.70138888888889,697,1,135,5.0
0fa3f386,235,112.43369565217391,2571,206878,107.5,1840,0,0,94,1630,116,0,94,2,10,249,1,0,0,144,9.36111111111111,1076,1,139,4.5
10001c3f,741,88.94532568342896,566,527090,87.0,5926,0,0,245,5050,631,0,245,0,14,842,0,0,5,697,8.6987087517934,931,1,687,5.5
1031137e,596,114.91846885813149,788,531383,115.0,4624,0,0,95,3930,599,0,95,0,10,720,3,0,0,607,10.98846787479407,2806,1,600,5.5
104e2177,355,68.69608104505465,1863,257679,65.0,3751,0,1,273,2820,657,0,273,0,10,493,0,0,0,674,7.169139465875371,1257,1,655,3.5
10894203,469,82.95440895440895,2089,303862,80.0,3663,0,1,175,3133,354,0,175,108,10,511,0,0,0,378,18.83862433862434,1901,1,355,4.0
10967045,438,88.20660432495616,734,301843,84.0,3422,0,0,94,2920,408,0,94,0,17,522,0,0,0,419,11.24821002386635,1908,1,409,3.5
10986aaa,509,92.0581919690788,2003,428715,93.0,4657,0,0,578,3533,540,6,578,0,8,620,3,0,0,747,9.331994645247658,1040,1,708,3.5
10989e65,389,130.92672279388836,1972,419882,134.0,3207,0,0,345,2463,399,0,345,0,9,460,1,0,0,465,22.933333333333334,1902,1,442,4.5
10a8ffbc,393,124.42227456258412,637,369783,120.0,2972,0,0,20,2552,400,0,20,10,3,452,0,0,0,402,2.743781094527363,674,1,400,1.5
10d00394,431,82.21776694727514,1238,371131,79.0,4514,0,0,153,3578,783,0,153,0,11,549,1,0,0,803,3.4757160647571608,721,1,787,4.5
10eafbce,262,104.28334439283344,516,314310,104.0,3014,0,0,369,2134,511,0,369,0,8,335,1,0,0,556,4.35431654676259,1611,1,550,4.0
1102ab6c,395,111.01376273052574,1895,403313,112.0,3633,0,0,50,3151,431,1,50,0,7,505,0,0,0,433,2.30715935334873,292,1,431,4.5
110982e4,325,134.83136094674558,527,319011,136.0,2366,0,0,65,2053,248,0,65,2,4,365,0,0,0,252,4.944444444444445,995,1,251,3.5
11612565,210,102.98121712997747,508,137068,93.0,1331,0,0,37,1245,49,0,37,0,6,241,0,0,0,56,2.0714285714285716,45,1,52,2.0
1165aac7,433,139.94688363524716,2922,455807,142.0,3257,0,0,89,3054,114,0,89,0,3,452,0,0,0,111,1.2342342342342343,16,1,108,2.5
118107cc,140,106.62966973470493,17278,196945,80.0,1847,0,0,70,1504,273,0,70,0,4,240,0,0,0,291,7.037800687285223,570,1,264,3.0
1183579c,217,117.80980926430517,1204,216181,116.0,1835,0,0,57,1614,163,1,57,0,8,269,0,0,0,182,12.538461538461538,710,1,164,3.5
11938f53,323,65.21978417266187,519,181311,69.0,2780,0,0,468,2063,249,0,468,0,3,390,1,0,1,251,3.1593625498007967,517,1,249,3.0
11c44718,251,98.84155379504217,2246,386767,99.0,3913,0,7,1200,2547,146,13,1200,0,6,390,1,0,0,385,39.602597402597404,1117,1,212,3.5
1201aaf5,351,112.646701124962,1760,370495,119.0,3289,0,0,833,2258,197,1,833,0,10,410,0,0,0,418,19.63397129186603,1363,1,336,3.5
121b7be1,267,93.61218637992832,1794,261178,91.0,2790,0,0,92,2210,485,3,92,0,8,334,5,0,1,497,4.625754527162978,824,1,485,3.5
12251b80,335,77.86439422008151,1995,210156,73.0,2699,0,0,49,2347,296,7,49,0,9,408,0,0,0,310,2.3516129032258064,155,1,296,3.5
12552ba4,283,76.27325581395348,2321,157428,65.0,2064,0,0,252,1758,49,5,252,0,6,291,0,0,0,147,13.394557823129253,491,1,131,4.5
1255ca43,331,84.22464985994398,1624,451023,83.0,5355,0,0,1721,2778,856,0,1721,0,10,482,0,0,1,1329,22.510910458991724,1118,1,954,3.5
128d8837,345,85.32611903590752,3538,346936,85.0,4066,0,0,133,3008,924,1,133,0,13,528,8,2,0,938,8.956289978678038,1927,1,924,4.0
12a1c58e,303,97.55878084179972,1612,201654,99.0,2067,0,0,187,1833,42,5,187,0,6,321,0,0,0,61,15.754098360655737,356,1,47,4.0
12a29027,593,94.33872767857143,1565,507165,103.0,5376,0,0,801,4178,395,2,801,0,8,748,1,0,1,404,18.846534653465348,3081,1,393,4.5
12b11af1,308,108.2902647820028,3265,543942,107.0,5023,0,1,204,3348,1469,1,204,0,14,609,1,0,0,1490,3.7738255033557047,843,1,1469,3.5
